id,name,origin,temperament,description,image_url,lifespan,weight,coat_type,grooming_level,tags
breed-072,Sahara Sandcat,Morocco,"Active, Curious, Agile, Independent","The Sahara Sandcat is inspired by desert-dwelling felines, known for agility and curiosity. They thrive in active households.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s,10 - 14 years,6 - 11 lbs,Short,Low,"{active,curious,agile,independent}"
breed-073,Nordic Curl,Finland,"Affectionate, Playful, Social, Intelligent",The Nordic Curl is known for its curled ears and friendly personality. They enjoy interactive play and human companionship.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTlRN7NzI0P-zZp1jh-ZlXQn91LErwDdT3u0F-N0qRyg&s=10,12 - 17 years,7 - 12 lbs,Short/Long,Medium,"{affectionate,playful,social,intelligent}"
breed-074,Highland Mist,Scotland,"Gentle, Quiet, Loyal, Calm","The Highland Mist is a serene breed with a soft, misty coat. They prefer quiet environments and form strong bonds.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_D896EnKE_Gja88nG6dwsmA3s6pPIhOKihokj2H0rQQ&s,13 - 18 years,8 - 15 lbs,Long,High,"{gentle,quiet,loyal,calm}"
breed-075,Pacific Wave,United States,"Active, Social, Intelligent, Playful",The Pacific Wave is a coastal-inspired breed known for its wavy coat and energetic personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGzw4ZqSVyKgK8jUt9oS2-kmdCKX9wJRIdqW2sgmqXVA&s=10,11 - 15 years,7 - 13 lbs,Wavy,Medium,"{active,social,intelligent,playful}"
breed-076,Aurora Longcoat,Sweden,"Gentle, Quiet, Loyal, Calm",The Aurora Longcoat is a serene Scandinavian breed known for its shimmering fur and gentle personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9TJCX1P8ZqDkb9i1JnSPTWR2o8CcfiJcnYRG3xAUKKg&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,quiet,loyal,calm}"
breed-077,Boreal Shorthair,Canada,"Active, Curious, Intelligent, Social",The Boreal Shorthair is a hardy northern breed that thrives in cold climates and enjoys human interaction.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7G1Ye6U4MAwQ7QKh5EJjbvmW-gHEanBrKZKvRQtWMzA&s=10,11 - 15 years,7 - 12 lbs,Short,Low,"{active,curious,intelligent,social}"
breed-078,Caspian Curl,Iran,"Affectionate, Playful, Gentle, Social",The Caspian Curl is known for its curled ears and affectionate nature. They enjoy quiet companionship.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTlRN7NzI0P-zZp1jh-ZlXQn91LErwDdT3u0F-N0qRyg&s=10,12 - 16 years,6 - 11 lbs,Short/Long,Medium,"{affectionate,playful,gentle,social}"
breed-079,Duskpoint,United States,"Calm, Loyal, Quiet, Intelligent","The Duskpoint is a color‑point breed with a soft gradient coat and a calm, observant personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj7GyC0EZKSoQmujhv_h5Unixud3Apuh_FjzOqJrf25w&s,13 - 18 years,8 - 13 lbs,Medium,Low,"{calm,loyal,quiet,intelligent}"
breed-080,Emerald Rex,Ireland,"Active, Energetic, Playful, Social",The Emerald Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7G1Ye6U4MAwQ7QKh5EJjbvmW-gHEanBrKZKvRQtWMzA&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{active,energetic,playful,social}"
breed-081,Fjord Cat,Norway,"Gentle, Independent, Intelligent, Calm","The Fjord Cat is a mountain breed adapted to cold climates, known for its independence and gentle nature.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s,12 - 17 years,9 - 16 lbs,Long,High,"{gentle,independent,intelligent,calm}"
breed-082,Golden Dune,Egypt,"Active, Curious, Agile, Social",The Golden Dune is a desert‑inspired breed with a sandy coat and a highly curious personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s,10 - 14 years,6 - 10 lbs,Short,Low,"{active,curious,agile,social}"
breed-083,Harbor Longhair,United Kingdom,"Affectionate, Calm, Gentle, Quiet",The Harbor Longhair is a peaceful breed with a silky coat and a preference for quiet environments.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_D896EnKE_Gja88nG6dwsmA3s6pPIhOKihokj2H0rQQ&s,13 - 17 years,8 - 14 lbs,Long,High,"{affectionate,calm,gentle,quiet}"
breed-084,Indigo Shorthair,Japan,"Playful, Intelligent, Social, Curious","The Indigo Shorthair is a sleek, blue‑toned breed known for its intelligence and playful personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSV8UiBCClucitwWpr1sIWWZKGvtZIDc9vKtZXmvhWLA&s=10,11 - 15 years,6 - 11 lbs,Short,Low,"{playful,intelligent,social,curious}"
breed-085,Jungle Mist,Brazil,"Active, Agile, Curious, Friendly","The Jungle Mist is inspired by rainforest cats, known for agility and a friendly, curious nature.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsdsBwixGy3Jjq6PGVjrYqgq5CPMPljqhRh_vWCzvj7A&s=10,10 - 14 years,7 - 12 lbs,Short,Low,"{active,agile,curious,friendly}"
breed-086,Kairo Curl,Egypt,"Affectionate, Social, Intelligent, Gentle","The Kairo Curl is a desert‑origin breed with curled ears and a warm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTlRN7NzI0P-zZp1jh-ZlXQn91LErwDdT3u0F-N0qRyg&s=10,12 - 16 years,7 - 12 lbs,Short,Low,"{affectionate,social,intelligent,gentle}"
breed-087,Lunar Rex,United States,"Playful, Energetic, Intelligent, Social",The Lunar Rex is a curly‑coated breed with a lively personality and a love for nighttime activity.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr6dnYelGRRzWmLuxcQiJNnph0BEnGi6TqJ0oiLatBOQ&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{playful,energetic,intelligent,social}"
breed-088,Marina Shorthair,Portugal,"Calm, Gentle, Loyal, Quiet",The Marina Shorthair is a coastal breed known for its calm demeanor and loyalty to its family.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThqxbeif2vqDXjyviYXPXAZbvwtX03MnYwJc9IZnUHLg&s=10,12 - 17 years,7 - 12 lbs,Short,Low,"{calm,gentle,loyal,quiet}"
breed-089,Nebula Longhair,Russia,"Quiet, Intelligent, Gentle, Shy",The Nebula Longhair is a soft‑coated breed with a shy but deeply affectionate personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_D896EnKE_Gja88nG6dwsmA3s6pPIhOKihokj2H0rQQ&s=10,13 - 18 years,8 - 14 lbs,Long,High,"{quiet,intelligent,gentle,shy}"
breed-090,Oasis Cat,Saudi Arabia,"Active, Curious, Agile, Independent",The Oasis Cat is a desert‑adapted breed known for agility and independence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s,10 - 14 years,6 - 10 lbs,Short,Low,"{active,curious,agile,independent}"
breed-091,Polar Curl,Iceland,"Gentle, Loyal, Calm, Intelligent","The Polar Curl is a cold‑climate breed with curled ears and a gentle, loyal personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkveKIkM6pdg-q1o894_kEGP_LvTxyMj3gLPO6GylCZw&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,loyal,calm,intelligent}"
breed-092,Quartz Shorthair,Germany,"Intelligent, Calm, Gentle, Loyal",The Quartz Shorthair is a sturdy European breed known for its calm temperament and intelligence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s,12 - 16 years,7 - 13 lbs,Short,Low,"{intelligent,calm,gentle,loyal}"
breed-093,Riverine Cat,Bangladesh,"Active, Curious, Social, Playful","The Riverine Cat is inspired by wetland felines, known for curiosity and playful behavior.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLkF2be3wrq4XCkKY9AQBmeORy23DkL50yQ68cOogZAw&s,10 - 14 years,6 - 11 lbs,Short,Low,"{active,curious,social,playful}"
breed-094,Saffron Longhair,India,"Gentle, Calm, Affectionate, Quiet",The Saffron Longhair is a warm‑toned breed with a gentle personality and a preference for quiet homes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREjLoxZxal0P2xoAtuFIYq1LOg_NJIQDlHCdmUfiPAZw&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,calm,affectionate,quiet}"
breed-095,Savanna Curl,Kenya,"Active, Agile, Curious, Social",The Savanna Curl is a wild‑inspired breed with curled ears and a highly active personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAw44eAzCAeCvoTg8UueH2hIwnvKSVj-ztn43GT98EWw&s,10 - 14 years,7 - 12 lbs,Short,Low,"{active,agile,curious,social}"
breed-096,Seabreeze Cat,Australia,"Playful, Friendly, Social, Intelligent",The Seabreeze Cat is a coastal breed known for its friendly nature and love for human interaction.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuykQ8nvBDA-vWGGB-kc-jjKq_8ymwvMQwzdj7j5lpgg&s,11 - 15 years,7 - 12 lbs,Short,Low,"{playful,friendly,social,intelligent}"
breed-097,Shadowpoint,United States,"Quiet, Calm, Loyal, Gentle","The Shadowpoint is a color‑point breed with a dark gradient coat and a calm, gentle personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRdLqSRQK6gwqoAllj57QY18uWIJMPBiO-zHS24Ykxqg&s,12 - 17 years,8 - 13 lbs,Medium,Low,"{quiet,calm,loyal,gentle}"
breed-098,Silkstream,China,"Gentle, Social, Intelligent, Calm",The Silkstream is a silky‑coated breed known for its gentle personality and strong social bonds.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZg9Jcn3ELIy_xbIOIMdXOyitdI4KnthrvCb5aouFJgQ&s,12 - 16 years,7 - 12 lbs,Long,High,"{gentle,social,intelligent,calm}"
breed-099,Solstice Rex,Denmark,"Energetic, Playful, Social, Intelligent",The Solstice Rex is a curly‑coated breed with a bright personality and a love for activity.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-100,Starfall Cat,United States,"Calm, Gentle, Quiet, Loyal",The Starfall Cat is a soft‑coated breed with a peaceful temperament and a preference for quiet homes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzOcOq0z-DzcbA_BZMSKJNxp59O1WhzTu6J8X-bcLYmQ&s=10,13 - 18 years,8 - 14 lbs,Long,High,"{calm,gentle,quiet,loyal}"
breed-101,Suncrest Shorthair,Spain,"Active, Social, Playful, Curious",The Suncrest Shorthair is a sunny‑tempered breed known for its playful and social nature.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXgCyFu1f57_MxovZJqwBE_mUhOnXxjRHlhPIVFMyeVg&s=12,11 - 15 years,7 - 12 lbs,Short,Low,"{active,social,playful,curious}"
breed-102,Twilight Mist,New Zealand,"Gentle, Calm, Loyal, Affectionate","The Twilight Mist is a serene breed with a soft coat and a calm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGCO5Wpm7PrKW4-Jkea3vAaT4Gmz7BKE4WEummCfYqNw&s,12 - 17 years,7 - 13 lbs,Medium,Medium,"{gentle,calm,loyal,affectionate}"
breed-103,Velvet Curl,France,"Playful, Social, Intelligent, Gentle",The Velvet Curl is a curly‑coated breed with a soft personality and a love for social interaction.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZIYdOXCN3Fl1Og0JxProgwakT3_rawXijBWi8S9hvGA&s=10,10 - 14 years,6 - 11 lbs,Curly,Low,"{playful,social,intelligent,gentle}"
breed-104,Whispering Sands,Morocco,"Active, Curious, Agile, Independent",The Whispering Sands is a desert‑adapted breed known for its agility and independent nature.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4iOFcBJYGpObvJMz8qBpxYS5oWbyxVfyc27hNvG9GmQ&s,10 - 14 years,6 - 11 lbs,Short,Low,"{active,curious,agile,independent}"
breed-105,Zephyr Longhair,Italy,"Gentle, Calm, Loyal, Affectionate",The Zephyr Longhair is a soft‑coated breed with a calm demeanor and a strong bond with its family.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAFsFIhRwhG_TO0iZ_EqUEcB2YwMMlO6kDjQHi3i60fg&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,calm,loyal,affectionate}"
breed-106,Aurora Mist,Canada,"Playful, Social, Intelligent, Curious",The Aurora Mist is a northern breed known for its playful nature and curiosity.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShfUHOYvWM_fI1pLKI9i6gOM5_irU16YVudXZLH_ibeQ&s,11 - 15 years,7 - 12 lbs,Medium,Medium,"{playful,social,intelligent,curious}"
breed-107,Celestial Rex,United Kingdom,"Energetic, Playful, Social, Intelligent",The Celestial Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP24DWMgVREyaJsXC22AgXbGjXD4TBpF4-7NMFXsVvrw&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-108,Dawnlight Shorthair,Australia,"Calm, Gentle, Loyal, Affectionate","The Dawnlight Shorthair is a serene breed with a soft coat and a calm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7sjpKFYyLSlhc3qNbcGRoeBN0XrbadB9xL52jRBgLtw&s=10,12 - 17 years,7 - 13 lbs,Short,Low,"{calm,gentle,loyal,affectionate}"
breed-109,Eclipse Longhair,Japan,"Playful, Social, Intelligent, Curious","The Eclipse Longhair is a sleek, long‑coated breed known for its intelligence and playful personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNXukoSUJoeuZNDX5-_n8uECiUeVLeC_xpxiQKieFllA&s,11 - 15 years,7 - 12 lbs,Long,High,"{playful,social,intelligent,curious}"
breed-110,Frostbite Rex,Norway,"Energetic, Playful, Social, Intelligent",The Frostbite Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIdPJUpqj5anXhK4qfHT-8PW7IXv7RQkK7qTJ6bos2MQ&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-111,Glacier Shorthair,Iceland,"Calm, Gentle, Loyal, Affectionate","The Glacier Shorthair is a serene breed with a soft coat and a calm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmCfFt_sZmtzpMszA0aOvNqgbyikE9EhrFNnLITMmSlg&s,12 - 17 years,7 - 13 lbs,Short,Low,"{calm,gentle,loyal,affectionate}"
breed-112,Horizon Mist,New Zealand,"Playful, Social, Intelligent, Curious",The Horizon Mist is a coastal breed known for its playful nature and curiosity.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgCHDC-DGYk9v0Bv6Pwz6dgiPMHMtFNL6UyRjpuLExqg&s=10,11 - 15 years,7 - 12 lbs,Medium,Medium,"{playful,social,intelligent,curious}"
breed-113,Iris Longhair,France,"Gentle, Calm, Loyal, Affectionate",The Iris Longhair is a soft‑coated breed with a calm demeanor and a strong bond with its family.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEdXke1jSujBiVKN4qo-wGvjt-dulCgRCSUsGURLzD9Q&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,calm,loyal,affectionate}"
breed-114,Jade Shorthair,China,"Playful, Social, Intelligent, Curious","The Jade Shorthair is a sleek, short‑coated breed known for its intelligence and playful personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe4-hnTUPBllbd5mN9grLEtw-tcDAMv--fj5BLnxWKJg&s,11 - 15 years,7 - 12 lbs,Short,Low,"{playful,social,intelligent,curious}"
breed-115,Kestrel Rex,United Kingdom,"Energetic, Playful, Social, Intelligent",The Kestrel Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR79eiEWjnXIcxSbbtbGAJHkUEUPb4FC7NgMQtwepOyaw&shttps://example.com/kestrel_rex.jpg,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-116,Luminous Mist,Australia,"Calm, Gentle, Loyal, Affectionate","The Luminous Mist is a serene breed with a soft coat and a calm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4zq9jJKUT2sGcRgAWpW-U7WrEssl04N1u_d2PNxggZQ&s,12 - 17 years,7 - 13 lbs,Medium,Medium,"{calm,gentle,loyal,affectionate}"
breed-117,Mystic Longhair,Japan,"Playful, Social, Intelligent, Curious","The Mystic Longhair is a sleek, long‑coated breed known for its intelligence and playful personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaUYDYzPtfLS23cf4aO0XuIJ1955wdBzPDY6dmRQZUzg&s,11 - 15 years,7 - 12 lbs,Long,High,"{playful,social,intelligent,curious}"
breed-118,Nova Shorthair,Germany,"Calm, Gentle, Loyal, Affectionate","The Nova Shorthair is a serene breed with a soft coat and a calm, affectionate personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT167uhrixBIaSDkWKiNiWXE-bkfajPAlxS77gE-SDEg&s=10,12 - 17 years,7 - 13 lbs,Short,Low,"{calm,gentle,loyal,affectionate}"
breed-119,Opal Rex,United Kingdom,"Energetic, Playful, Social, Intelligent",The Opal Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEhQeWn3h5k8HNf9o8HaiLVpXbMesnLAx5C5mkHPTEHA&s,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-120,Pearl Longhair,France,"Gentle, Calm, Loyal, Affectionate",The Pearl Longhair is a soft‑coated breed with a calm demeanor and a strong bond with its family.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS369GQFIv5ZMDQaxBOQEL2Qs8g1b9P0TS1ord2rWWd4A&s,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,calm,loyal,affectionate}"
breed-121,Quartz Shorthair,Germany,"Intelligent, Calm, Gentle, Loyal",The Quartz Shorthair is a sturdy European breed known for its calm temperament and intelligence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiLOdQHoErR3sRPW_i-paOBWucKUYCtSfx5FL7Su5H5w&s=10,12 - 16 years,7 - 13 lbs,Short,Low,"{intelligent,calm,gentle,loyal}"
breed-122,Riverine Cat,Bangladesh,"Active, Curious, Social, Playful","The Riverine Cat is inspired by wetland felines, known for curiosity and playful behavior.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_rqqeDPdUv9f4W-vh2Fn_nKC2xi_1Xlhobmun4cRXzw&s,10 - 14 years,6 - 11 lbs,Short,Low,"{active,curious,social,playful}"
breed-123,Saffron Longhair,India,"Gentle, Calm, Affectionate, Quiet",The Saffron Longhair is a warm‑toned breed with a gentle personality and a preference for quiet homes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe59ETowLZ7HGbmZsv2crEyV0ymb7EX1lErCWMlYPRHA&s=10,12 - 17 years,8 - 14 lbs,Long,High,"{gentle,calm,affectionate,quiet}"
breed-124,Savanna Curl,Kenya,"Active, Agile, Curious, Social",The Savanna Curl is a wild‑inspired breed with curled ears and a highly active personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5zSTqtBxi_yYrSFMcnT_BLKowtkrg6n7eNRdKjt6f3A&s=10,10 - 14 years,7 - 12 lbs,Short,Low,"{active,agile,curious,social}"
breed-125,Amberpoint,United States,"Gentle, Calm, Loyal, Quiet","Amberpoint cats are known for their warm amber point coloration and calm, affectionate nature.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8_nP6nAnQh-jO2OVn5IMl9jdBl9Bp1-6DcsKxXFEbCQ&s=10,12 - 17 years,8 - 14 lbs,Medium,Low,"{gentle,calm,loyal,quiet}"
breed-126,Arctic Shorthair,Greenland,"Independent, Intelligent, Gentle, Calm",The Arctic Shorthair is adapted to cold climates and known for its thick coat and quiet personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVPEASYvdWlXDDVAZJagQ88x9Gq3rDRXUHQWccjCDauA&s=10,11 - 15 years,7 - 12 lbs,Short,Low,"{independent,intelligent,gentle,calm}"
breed-127,Azure Curl,Turkey,"Affectionate, Social, Intelligent, Playful","The Azure Curl is known for its curled ears and bright blue eyes, paired with a loving personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQl6NTkgnEaM9TVY9ew8aIG0wut1jGT7jC8W0w1F_4xbA&s,12 - 16 years,6 - 11 lbs,Short,Low,"{affectionate,social,intelligent,playful}"
breed-128,Bamboo Cat,Vietnam,"Active, Curious, Agile, Friendly","The Bamboo Cat is a jungle‑inspired breed known for agility and a curious, friendly nature.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC23oxEVdQ4kzUXLbYheEf6ZPbb36gEFl0FzQtB1JrCw&s,10 - 14 years,6 - 10 lbs,Short,Low,"{active,curious,agile,friendly}"
breed-129,Blossom Longhair,Japan,"Gentle, Quiet, Calm, Loyal",The Blossom Longhair is a serene breed with a soft floral‑patterned coat and a gentle personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyxt6xZ3CVs-o4if8LgXHUq9bm9r3pn7FzPFYFSgLEeQ&s=10,13 - 18 years,8 - 14 lbs,Long,High,"{gentle,quiet,calm,loyal}"
breed-130,Breeze Shorthair,New Zealand,"Playful, Social, Friendly, Intelligent",The Breeze Shorthair is a coastal breed known for its friendly nature and playful energy.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCDfiFd8YF7U5gYLvKnZnndA0OukSTvrKMkMZw5UzIhg&s,11 - 15 years,7 - 12 lbs,Short,Low,"{playful,social,friendly,intelligent}"
breed-131,Canyon Cat,United States,"Active, Agile, Curious, Independent",The Canyon Cat is inspired by rugged landscapes and known for its agility and independence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXJO_4nauVfoNQrOJv2xgVXBlALnNeOUlKtJMOHvAU3Q&s=10,10 - 14 years,7 - 12 lbs,Short,Low,"{active,agile,curious,independent}"
breed-132,Celestial Rex,France,"Energetic, Playful, Social, Intelligent",The Celestial Rex is a curly‑coated breed with a lively personality and a love for human interaction.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5I8Izb2NGxt_gp9uTDwutMwLUJVYdx-fZ5rsayXhJRA&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
breed-133,Cloudtail,United Kingdom,"Gentle, Calm, Quiet, Loyal","Cloudtail cats are known for their fluffy coats and peaceful, loyal personalities.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2B8jXiS1e9ayjoYu7SjRaSHAV0AC5lNGg961G-RWnyw&s=10,13 - 18 years,8 - 15 lbs,Long,High,"{gentle,calm,quiet,loyal}"
breed-134,Coralpoint,Australia,"Affectionate, Social, Gentle, Calm","The Coralpoint is a color‑point breed with warm coral tones and a gentle, affectionate nature.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg5Sbh-e5Y6qQKG6OCSoLqYgiGyx8IdxPKRr4tizLOTQ&s=10,12 - 17 years,7 - 12 lbs,Medium,Low,"{affectionate,social,gentle,calm}"
breed-135,Crystal Shorthair,Switzerland,"Intelligent, Calm, Gentle, Loyal",The Crystal Shorthair is a sleek European breed known for its calm temperament and intelligence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZH2GTU9wlNrZm6YJER0fEghOjuzcC31RK0HXDQQJQzA&s=10,12 - 16 years,7 - 13 lbs,Short,Low,"{intelligent,calm,gentle,loyal}"
breed-136,Dawnmist,Norway,"Gentle, Quiet, Calm, Intelligent",Dawnmist cats have soft mist‑colored coats and gentle personalities suited for quiet homes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpaD0VVYcELF-2po1JkGWCiVc76P5fojbLfpzAtRU4BQ&s,13 - 18 years,8 - 14 lbs,Long,High,"{gentle,quiet,calm,intelligent}"
breed-137,Delta Rex,Greece,"Playful, Energetic, Social, Intelligent",The Delta Rex is a curly‑coated breed with a lively personality and a love for interactive play.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGOrYX_kOQKcm3guWvldSNpIUUKJnYzfHUhU8-C9Xdtw&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{playful,energetic,social,intelligent}"
breed-138,Desert Pearl,Saudi Arabia,"Active, Curious, Agile, Independent",The Desert Pearl is a desert‑adapted breed known for agility and independence.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFSMFpRHbSprVVcq6U0FqBDK5gQnZbEeGaVTwJ0PACaA&s,10 - 14 years,6 - 10 lbs,Short,Low,"{active,curious,agile,independent}"
breed-139,Driftwood Cat,Canada,"Friendly, Social, Gentle, Calm",The Driftwood Cat is a coastal breed known for its calm demeanor and friendly personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-NpueKLO7AJTOpj00yJ2QJV5Pp5_qT7Gb7zNkLsj2qw&s,12 - 17 years,7 - 13 lbs,Medium,Low,"{friendly,social,gentle,calm}"
breed-140,Echo Shorthair,Germany,"Intelligent, Curious, Social, Playful",The Echo Shorthair is a sleek breed known for its curiosity and strong social bonds.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9MhPOjOEhXOI5abXW7dcVBe3jPF-loDf08kI8VM_87g&s,11 - 15 years,7 - 12 lbs,Short,Low,"{intelligent,curious,social,playful}"
breed-141,Emberpoint,United States,"Gentle, Calm, Loyal, Quiet",The Emberpoint is a color‑point breed with warm ember tones and a peaceful personality.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSbPYtMg5M7nmi576ZhVAXZnWxQASPQ1AiFgu7gXDOXw&s=10,12 - 17 years,8 - 14 lbs,Medium,Low,"{gentle,calm,loyal,quiet}"
breed-142,Fable Cat,Ireland,"Gentle, Quiet, Calm, Loyal","The Fable Cat is a mythical‑looking breed with a soft coat and a gentle, loyal personality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsVXChfYqYzcE7mHRFcTL39SCNJbJyeL5F3PEV59q9iw&s=10,13 - 18 years,8 - 14 lbs,Long,High,"{gentle,quiet,calm,loyal}"
breed-143,Flare Rex,Italy,"Energetic, Playful, Social, Intelligent",The Flare Rex is a curly‑coated breed with a fiery personality and a love for activity.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5I8Izb2NGxt_gp9uTDwutMwLUJVYdx-fZ5rsayXhJRA&s=10,10 - 14 years,6 - 10 lbs,Curly,Low,"{energetic,playful,social,intelligent}"
